ID	Label	Exact Match	Synonyms	Suggested parent term	Abbreviation	Definition	Textual Definition	Definition Source	See Also	Editor	Reviewer1	Reviewer2	Type	Parent	Close Match	Exact Match.1	Narrow Match	Related Match
pbpko:PBPKO_00400	distal tubule compartment					A kidney compartment representing the distal tubule of the nephron.	A kidney compartment representing the distal tubule of the nephron.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'kidney compartment'	http://purl.obolibrary.org/obo/UBERON_0004135			
pbpko:PBPKO_00401	collecting duct compartment					A kidney compartment representing the collecting duct system.	A kidney compartment representing the collecting duct system.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'kidney compartment'				
pbpko:PBPKO_00402	bladder compartment					A compartment representing the urinary bladder.	A compartment representing the urinary bladder.			0000-0001-8345-1349	0000-0002-9795-5967		Class	compartment	http://purl.obolibrary.org/obo/UBERON_0001232			
pbpko:PBPKO_00403	lung pbpk					A physiologically based pharmacokinetic model specifically built to predict compound concentrations within the lung compartments.	A physiologically based pharmacokinetic model specifically built to predict compound concentrations within the lung compartments.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'physiologically based pharmacokinetic model'				
pbpko:PBPKO_00404	extrathoracic compartment					A compartment representing the extrathoracic region (head, neck, upper respiratory tract).	A compartment representing the extrathoracic region (head, neck, upper respiratory tract).			0000-0001-8345-1349	0000-0002-9795-5967		Class	compartment				
pbpko:PBPKO_00405	thoracic compartment					A compartment representing the thoracic region (chest).	A compartment representing the thoracic region (chest).			0000-0001-8345-1349	0000-0002-9795-5967		Class	compartment				
pbpko:PBPKO_00406	bronchiolar compartment					A lung compartment representing the bronchioles.	A lung compartment representing the bronchioles.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'lung compartment'				
pbpko:PBPKO_00407	alveolar compartment					A lung compartment representing the alveoli.	A lung compartment representing the alveoli.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'lung compartment'				
pbpko:PBPKO_00408	gut pbpk					A physiologically based pharmacokinetic model specifically built to predict compound concentrations within the gut compartments.	A physiologically based pharmacokinetic model specifically built to predict compound concentrations within the gut compartments.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'physiologically based pharmacokinetic model'				
pbpko:PBPKO_00409	fraction of blood flow to duodenum		fqduodenum		fqduodenum	The dimensionless fraction of cardiac output delivered to the duodenum compartment.	The dimensionless fraction of cardiac output delivered to the duodenum compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'fraction of blood flow to a compartment'				
pbpko:PBPKO_00410	fraction of blood flow to jejunum		fqjejunum		fqjejunum	The dimensionless fraction of cardiac output delivered to the jejunum compartment.	The dimensionless fraction of cardiac output delivered to the jejunum compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'fraction of blood flow to a compartment'				
pbpko:PBPKO_00411	fraction of blood flow to ileum		fqileum		fqileum	The dimensionless fraction of cardiac output delivered to the ileum compartment.	The dimensionless fraction of cardiac output delivered to the ileum compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'fraction of blood flow to a compartment'				
pbpko:PBPKO_00412	fraction of blood flow to colon		fqcolon		fqcolon	The dimensionless fraction of cardiac output delivered to the colon compartment.	The dimensionless fraction of cardiac output delivered to the colon compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'fraction of blood flow to a compartment'				
pbpko:PBPKO_00413	fraction of blood flow to cecum		fqcecum		fqcecum	The dimensionless fraction of cardiac output delivered to the cecum compartment.	The dimensionless fraction of cardiac output delivered to the cecum compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'fraction of blood flow to a compartment'				
pbpko:PBPKO_00414	blood flow rate to duodenum		qduodenum		qduodenum	A blood flow rate parameter specifically describing the rate to the duodenum compartment.	A blood flow rate parameter specifically describing the rate to the duodenum compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'blood flow rate to compartment'				
pbpko:PBPKO_00415	blood flow rate to jejunum		qjejunum		qjejunum	A blood flow rate parameter specifically describing the rate to the jejunum compartment.	A blood flow rate parameter specifically describing the rate to the jejunum compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'blood flow rate to compartment'				
pbpko:PBPKO_00416	blood flow rate to ileum		qileum		qileum	A blood flow rate parameter specifically describing the rate to the ileum compartment.	A blood flow rate parameter specifically describing the rate to the ileum compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'blood flow rate to compartment'				
pbpko:PBPKO_00417	blood flow rate to colon		qcolon		qcolon	A blood flow rate parameter specifically describing the rate to the colon compartment.	A blood flow rate parameter specifically describing the rate to the colon compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'blood flow rate to compartment'				
pbpko:PBPKO_00418	blood flow rate to cecum		qcecum		qcecum	A blood flow rate parameter specifically describing the rate to the cecum compartment.	A blood flow rate parameter specifically describing the rate to the cecum compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'blood flow rate to compartment'				
pbpko:PBPKO_00419	fraction of duodenum		fduodenum		fduodenum	A dimensionless fraction of volume defined as the duodenum volume divided per unit of total body weight.	A dimensionless fraction of volume defined as the duodenum volume divided per unit of total body weight.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'fraction of volume of compartment'				
pbpko:PBPKO_00420	fraction of jejunum		fjejunum		fjejunum	A dimensionless fraction of volume defined as the jejunum volume divided per unit of total body weight.	A dimensionless fraction of volume defined as the jejunum volume divided per unit of total body weight.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'fraction of volume of compartment'				
pbpko:PBPKO_00421	fraction of ileum		fileum		fileum	A dimensionless fraction of volume defined as the ileum volume divided per unit of total body weight.	A dimensionless fraction of volume defined as the ileum volume divided per unit of total body weight.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'fraction of volume of compartment'				
pbpko:PBPKO_00422	fraction of colon		fcolon		fcolon	A dimensionless fraction of volume defined as the colon volume divided per unit of total body weight.	A dimensionless fraction of volume defined as the colon volume divided per unit of total body weight.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'fraction of volume of compartment'				
pbpko:PBPKO_00423	fraction of cecum		fcecum		fcecum	A dimensionless fraction of volume defined as the cecum volume divided per unit of total body weight.	A dimensionless fraction of volume defined as the cecum volume divided per unit of total body weight.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'fraction of volume of compartment'				
pbpko:PBPKO_00424	volume of duodenum		vduodenum		vduodenum	A volume parameter representing the total volume of the duodenum compartment.	A volume parameter representing the total volume of the duodenum compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'volume of compartment'				
pbpko:PBPKO_00425	volume of jejunum		vjejunum		vjejunum	A volume parameter representing the total volume of the jejunum compartment.	A volume parameter representing the total volume of the jejunum compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'volume of compartment'				
pbpko:PBPKO_00426	volume of ileum		vileum		vileum	A volume parameter representing the total volume of the ileum compartment.	A volume parameter representing the total volume of the ileum compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'volume of compartment'				
pbpko:PBPKO_00427	volume of colon		vcolon		vcolon	A volume parameter representing the total volume of the colon compartment.	A volume parameter representing the total volume of the colon compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'volume of compartment'				
pbpko:PBPKO_00428	volume of cecum		vcecum		vcecum	A volume parameter representing the total volume of the cecum compartment.	A volume parameter representing the total volume of the cecum compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'volume of compartment'				
pbpko:PBPKO_00429	bile salt effect solubilization ratio					A biochemical parameter representing the ratio of molecules solubilized due to bile salt presence.	A biochemical parameter representing the ratio of molecules solubilized due to bile salt presence.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'biochemical parameter'				
pbpko:PBPKO_00430	mean precipitation time					A biochemical parameter representing the average time for a compound to precipitate under specific conditions (e.g., in the GI tract).	A biochemical parameter representing the average time for a compound to precipitate under specific conditions (e.g., in the GI tract).			0000-0001-8345-1349	0000-0002-9795-5967		Class	'biochemical parameter'				
pbpko:PBPKO_00431	diffusion coefficient		D		D	A physicochemical parameter representing the amount of substance diffusing across a unit area per unit time under a unit concentration gradient.	A physicochemical parameter representing the amount of substance diffusing across a unit area per unit time under a unit concentration gradient.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'physicochemical parameter'				
pbpko:PBPKO_00432	particle density		ps		ps	A biochemical/physical parameter representing the mass per unit volume of particles (e.g., of the administered compound).	A biochemical/physical parameter representing the mass per unit volume of particles (e.g., of the administered compound).			0000-0001-8345-1349	0000-0002-9795-5967		Class	'biochemical parameter'				
pbpko:PBPKO_00433	particle radius					A biochemical/physical parameter representing the radius of particles (e.g., of the administered compound).	A biochemical/physical parameter representing the radius of particles (e.g., of the administered compound).			0000-0001-8345-1349	0000-0002-9795-5967		Class	'biochemical parameter'				
pbpko:PBPKO_00434	intestinal transit time		itt		itt	A biochemical parameter representing the time required for a compound to move through the intestine.	A biochemical parameter representing the time required for a compound to move through the intestine.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'biochemical parameter'				
pbpko:PBPKO_00435	lactational pbpk					A physiologically based pharmacokinetic model specifically built to predict compound concentrations during lactation, including transfer into milk.	A physiologically based pharmacokinetic model specifically built to predict compound concentrations during lactation, including transfer into milk.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'physiologically based pharmacokinetic model'				
pbpko:PBPKO_00436	milk plasma ratio					A biochemical parameter representing the ratio of compound concentration in milk to plasma.	A biochemical parameter representing the ratio of compound concentration in milk to plasma.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'biochemical parameter'				
pbpko:PBPKO_00437	fraction unbound milk		fumilk		fumilk	An unbound fraction parameter specifically for milk.	An unbound fraction parameter specifically for milk.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'unbound fraction'				
pbpko:PBPKO_00438	concentration in milk		cmilk		cmilk	The total concentration of compound in the milk compartment.	The total concentration of compound in the milk compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'concentration of compound in compartment'				
pbpko:PBPKO_00439	daily milk intake					A physiological parameter representing the daily volume of milk ingested (e.g., by an infant).	A physiological parameter representing the daily volume of milk ingested (e.g., by an infant).			0000-0001-8345-1349	0000-0002-9795-5967		Class	'physiological parameter'				
pbpko:PBPKO_00440	phmilk					A biochemical parameter representing the pH of milk.	A biochemical parameter representing the pH of milk.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'biochemical parameter'				
pbpko:PBPKO_00441	blood milk barrier compartment		bmb compartment		bmb compartment	A barrier compartment representing the physiological barrier separating blood and milk in lactating species.	A barrier compartment representing the physiological barrier separating blood and milk in lactating species.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'barrier compartment'				
pbpko:PBPKO_00442	milk plasma partition coefficient		milk plasma pc		milk plasma pc	A partition coefficient representing the ratio of compound concentration in milk to plasma.	A partition coefficient representing the ratio of compound concentration in milk to plasma.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'partition coefficient'				
pbpko:PBPKO_00446	compartment					A data representation model component representing a distinct physiological space (organ, tissue, fluid) where ADME processes occur.	A data representation model component representing a distinct physiological space (organ, tissue, fluid) where ADME processes occur.			0000-0001-8345-1349	0000-0002-9795-5967		Class	http://purl.obolibrary.org/obo/OBI_0000658				
pbpko:PBPKO_00448	alveolar air compartment					A lung compartment specifically representing the air within the alveoli.	A lung compartment specifically representing the air within the alveoli.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'lung compartment'				
pbpko:PBPKO_00450	rest of body compartment					A compartment representing the lumped remainder of the body not explicitly modeled as separate organs/tissues.	A compartment representing the lumped remainder of the body not explicitly modeled as separate organs/tissues.			0000-0001-8345-1349	0000-0002-9795-5967		Class	compartment				
pbpko:PBPKO_00451	arterial plasma					A compartment representing the plasma specifically within the arterial blood.	A compartment representing the plasma specifically within the arterial blood.			0000-0001-8345-1349	0000-0002-9795-5967		Class	compartment				
pbpko:PBPKO_00452	venous plasma compartment					A compartment representing the plasma specifically within the venous blood.	A compartment representing the plasma specifically within the venous blood.			0000-0001-8345-1349	0000-0002-9795-5967		Class	compartment				
pbpko:PBPKO_00453	richly perfused tissue compartment					A compartment representing lumped tissues with high blood flow relative to their volume.	A compartment representing lumped tissues with high blood flow relative to their volume.			0000-0001-8345-1349	0000-0002-9795-5967		Class	compartment				
pbpko:PBPKO_00454	poorly perfused tissue compartment					A compartment representing lumped tissues with low blood flow relative to their volume.	A compartment representing lumped tissues with low blood flow relative to their volume.			0000-0001-8345-1349	0000-0002-9795-5967		Class	compartment				
pbpko:PBPKO_00455	viable unexposed skin compartment					A skin compartment representing the viable layers of skin not directly exposed to the applied compound.	A skin compartment representing the viable layers of skin not directly exposed to the applied compound.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'skin compartment'				
pbpko:PBPKO_00456	viable exposed skin compartment					A skin compartment representing the viable layers of skin directly exposed to the applied compound.	A skin compartment representing the viable layers of skin directly exposed to the applied compound.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'skin compartment'				
pbpko:PBPKO_00457	skin unexposed stratum corneum					A stratum corneum compartment representing the portion not directly exposed to the applied compound.	A stratum corneum compartment representing the portion not directly exposed to the applied compound.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'stratum corneum compartment'				
pbpko:PBPKO_00458	skin exposed stratum corneum compartment					A stratum corneum compartment representing the portion directly exposed to the applied compound.	A stratum corneum compartment representing the portion directly exposed to the applied compound.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'stratum corneum compartment'				
pbpko:PBPKO_00460	adipose compartment					A compartment representing adipose (fat) tissue.	A compartment representing adipose (fat) tissue.			0000-0001-8345-1349	0000-0002-9795-5967		Class	compartment				
pbpko:PBPKO_00461	anal canal compartment					A large intestine compartment representing the anal canal.	A large intestine compartment representing the anal canal.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'large intestine compartment'				
pbpko:PBPKO_00462	appendix compartment					A large intestine compartment representing the appendix.	A large intestine compartment representing the appendix.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'large intestine compartment'	http://purl.obolibrary.org/obo/UBERON_0001154			
pbpko:PBPKO_00463	ascending colon compartment					A large intestine compartment representing the ascending colon.	A large intestine compartment representing the ascending colon.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'large intestine compartment'	http://purl.obolibrary.org/obo/UBERON_0001156			
pbpko:PBPKO_00464	blood compartment					A compartment representing the entirety of the blood (including plasma and cells).	A compartment representing the entirety of the blood (including plasma and cells).			0000-0001-8345-1349	0000-0002-9795-5967		Class	compartment	http://purl.obolibrary.org/obo/UBERON_0000178			
pbpko:PBPKO_00465	bone marrow compartment					A compartment representing the bone marrow.	A compartment representing the bone marrow.			0000-0001-8345-1349	0000-0002-9795-5967		Class	compartment	http://purl.obolibrary.org/obo/UBERON_0002371			
pbpko:PBPKO_00466	brain compartment					A compartment representing the brain.	A compartment representing the brain.			0000-0001-8345-1349	0000-0002-9795-5967		Class	compartment	http://purl.obolibrary.org/obo/UBERON_0000955			
pbpko:PBPKO_00467	cecum compartment					A large intestine compartment representing the cecum.	A large intestine compartment representing the cecum.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'large intestine compartment'	http://purl.obolibrary.org/obo/UBERON_0001153			
pbpko:PBPKO_00468	descending colon compartment					A large intestine compartment representing the descending colon.	A large intestine compartment representing the descending colon.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'large intestine compartment'	http://purl.obolibrary.org/obo/UBERON_0001158			
pbpko:PBPKO_00469	dermis compartment					A skin compartment representing the dermis layer.	A skin compartment representing the dermis layer.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'skin compartment'	http://purl.obolibrary.org/obo/UBERON_0002067			
pbpko:PBPKO_00470	skin compartment					A compartment representing the skin.	A compartment representing the skin.			0000-0001-8345-1349	0000-0002-9795-5967		Class	compartment	http://purl.obolibrary.org/obo/UBERON_0002097			
pbpko:PBPKO_00471	duodenum compartment					A small intestine compartment representing the duodenum.	A small intestine compartment representing the duodenum.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'small intestine compartment'	http://purl.obolibrary.org/obo/UBERON_0002114			
pbpko:PBPKO_00472	small intestine compartment					A digestive system compartment representing the small intestine.	A digestive system compartment representing the small intestine.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'digestive system compartment'	http://purl.obolibrary.org/obo/UBERON_0002108			
pbpko:PBPKO_00473	endocrine gland compartment					A compartment representing endocrine glands.	A compartment representing endocrine glands.			0000-0001-8345-1349	0000-0002-9795-5967		Class	compartment	http://purl.obolibrary.org/obo/UBERON_0002368			
pbpko:PBPKO_00474	large intestine compartment					A digestive system compartment representing the large intestine.	A digestive system compartment representing the large intestine.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'digestive system compartment'	http://purl.obolibrary.org/obo/UBERON_0000059			
pbpko:PBPKO_00475	epidermis compartment					A skin compartment representing the epidermis layer.	A skin compartment representing the epidermis layer.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'skin compartment'	http://purl.obolibrary.org/obo/UBERON_0001003			
pbpko:PBPKO_00476	gall bladder compartment					A digestive system compartment representing the gall bladder.	A digestive system compartment representing the gall bladder.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'digestive system compartment'	http://purl.obolibrary.org/obo/UBERON_0002110			
pbpko:PBPKO_00477	gut compartment					A digestive system compartment representing the gut (general term, often synonymous with intestine or GI tract).	A digestive system compartment representing the gut (general term, often synonymous with intestine or GI tract).			0000-0001-8345-1349	0000-0002-9795-5967		Class	'digestive system compartment'				
pbpko:PBPKO_00478	gut lumen compartment					A digestive system compartment representing the lumen (opening) within the gut.	A digestive system compartment representing the lumen (opening) within the gut.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'digestive system compartment'				
pbpko:PBPKO_00479	hair compartment					A compartment representing hair.	A compartment representing hair.			0000-0001-8345-1349	0000-0002-9795-5967		Class	compartment	http://purl.obolibrary.org/obo/UBERON_8420000			
pbpko:PBPKO_00480	heart compartment					A compartment representing the heart.	A compartment representing the heart.			0000-0001-8345-1349	0000-0002-9795-5967		Class	compartment	http://purl.obolibrary.org/obo/UBERON_0000948			
pbpko:PBPKO_00481	ileum compartment					A small intestine compartment representing the ileum.	A small intestine compartment representing the ileum.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'small intestine compartment'	http://purl.obolibrary.org/obo/UBERON_0002116			
pbpko:PBPKO_00482	jejunum compartment					A small intestine compartment representing the jejunum.	A small intestine compartment representing the jejunum.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'small intestine compartment'	http://purl.obolibrary.org/obo/UBERON_0002115			
pbpko:PBPKO_00483	mammary gland compartment					A compartment representing the mammary gland.	A compartment representing the mammary gland.			0000-0001-8345-1349	0000-0002-9795-5967		Class	compartment	http://purl.obolibrary.org/obo/UBERON_0001911			
pbpko:PBPKO_00484	muscle compartment					A compartment representing muscle tissue.	A compartment representing muscle tissue.			0000-0001-8345-1349	0000-0002-9795-5967		Class	compartment	http://purl.obolibrary.org/obo/UBERON_0005090			
pbpko:PBPKO_00485	nail compartment					A compartment representing nails.	A compartment representing nails.			0000-0001-8345-1349	0000-0002-9795-5967		Class	compartment	http://purl.obolibrary.org/obo/UBERON_0001705			
pbpko:PBPKO_00486	pancreas compartment					A compartment representing the pancreas.	A compartment representing the pancreas.			0000-0001-8345-1349	0000-0002-9795-5967		Class	compartment	http://purl.obolibrary.org/obo/UBERON_0001264			
pbpko:PBPKO_00487	placental barrier compartment					A barrier compartment representing the placental barrier separating maternal and fetal circulation.	A barrier compartment representing the placental barrier separating maternal and fetal circulation.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'barrier compartment'				
pbpko:PBPKO_00488	plasma compartment					A compartment representing blood plasma.	A compartment representing blood plasma.			0000-0001-8345-1349	0000-0002-9795-5967		Class	compartment				
pbpko:PBPKO_00489	rectum compartment					A large intestine compartment representing the rectum.	A large intestine compartment representing the rectum.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'large intestine compartment'	http://purl.obolibrary.org/obo/UBERON_0001052			
pbpko:PBPKO_00490	reproductive compartment					A compartment representing reproductive organs (gonads).	A compartment representing reproductive organs (gonads).			0000-0001-8345-1349	0000-0002-9795-5967		Class	compartment				
pbpko:PBPKO_00491	sigmoid colon compartment					A large intestine compartment representing the sigmoid colon.	A large intestine compartment representing the sigmoid colon.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'large intestine compartment'	http://purl.obolibrary.org/obo/UBERON_0001159			
pbpko:PBPKO_00492	spleen compartment					A compartment representing the spleen.	A compartment representing the spleen.			0000-0001-8345-1349	0000-0002-9795-5967		Class	compartment	http://purl.obolibrary.org/obo/UBERON_0002106			
pbpko:PBPKO_00493	stratum corneum compartment					A skin compartment representing the stratum corneum layer.	A skin compartment representing the stratum corneum layer.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'skin compartment'	http://purl.obolibrary.org/obo/UBERON_0002027			
pbpko:PBPKO_00494	transverse colon compartment					A large intestine compartment representing the transverse colon.	A large intestine compartment representing the transverse colon.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'large intestine compartment'	http://purl.obolibrary.org/obo/UBERON_0001157			
pbpko:PBPKO_00495	barrier compartment					A compartment representing a physiological barrier limiting compound movement.	A compartment representing a physiological barrier limiting compound movement.			0000-0001-8345-1349	0000-0002-9795-5967		Class	compartment				
pbpko:PBPKO_00496	amount in gut		agut		agut	The amount of compound in the gut compartment.	The amount of compound in the gut compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'amount of compound in compartment'				
pbpko:PBPKO_00497	amount in liver		aliver		aliver	The amount of compound in the liver compartment.	The amount of compound in the liver compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'amount of compound in compartment'				
pbpko:PBPKO_00498	amount in kidney		akidney		akidney	The amount of compound in the kidney compartment.	The amount of compound in the kidney compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'amount of compound in compartment'				
pbpko:PBPKO_00499	amount in filtrate		afiltrate		afiltrate	The amount of compound in the filtrate compartment.	The amount of compound in the filtrate compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'amount of compound in compartment'				
pbpko:PBPKO_00500	amount in delay		adelay		adelay	The amount of compound in the hypothetical delay compartment.	The amount of compound in the hypothetical delay compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'amount of compound in compartment'				
pbpko:PBPKO_00501	amount in restbody		arestbody		arestbody	The amount of compound in the rest of the body compartment.	The amount of compound in the rest of the body compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'amount of compound in compartment'				
pbpko:PBPKO_00502	amount in plasma		aplasma		aplasma	The amount of compound in the plasma compartment.	The amount of compound in the plasma compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'amount of compound in compartment'				
pbpko:PBPKO_00503	amount in brain		abrain		abrain	The amount of compound in the brain compartment.	The amount of compound in the brain compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'amount of compound in compartment'				
pbpko:PBPKO_00504	amount in lung		alung		alung	The amount of compound in the lung compartment.	The amount of compound in the lung compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'amount of compound in compartment'				
pbpko:PBPKO_00505	amount in bone marrow		abm		abm	The amount of compound in the bone marrow compartment.	The amount of compound in the bone marrow compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'amount of compound in compartment'				
pbpko:PBPKO_00506	amount in skin		askin		askin	The amount of compound in the skin compartment.	The amount of compound in the skin compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'amount of compound in compartment'				
pbpko:PBPKO_00507	amount in mammary gland		amam		amam	The amount of compound in the mammary gland compartment.	The amount of compound in the mammary gland compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'amount of compound in compartment'				
pbpko:PBPKO_00508	fraction of filtrate		ffiltrate		ffiltrate	A dimensionless fraction of volume defined as the filtrate volume divided per unit of total body weight.	A dimensionless fraction of volume defined as the filtrate volume divided per unit of total body weight.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'fraction of volume of compartment'				
pbpko:PBPKO_00509	fraction of gut		fgut		fgut	A dimensionless fraction of volume defined as the gut volume divided per unit of total body weight.	A dimensionless fraction of volume defined as the gut volume divided per unit of total body weight.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'fraction of volume of compartment'				
pbpko:PBPKO_00510	fraction of mammary gland		fmam		fmam	A dimensionless fraction of volume defined as the mammary gland volume divided per unit of total body weight.	A dimensionless fraction of volume defined as the mammary gland volume divided per unit of total body weight.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'fraction of volume of compartment'				
pbpko:PBPKO_00511	fraction of blood flow to filtrate		fqfiltrate		fqfiltrate	The dimensionless fraction of cardiac output delivered to the filtrate compartment.	The dimensionless fraction of cardiac output delivered to the filtrate compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'fraction of blood flow to a compartment'				
pbpko:PBPKO_00512	fraction of blood flow to bone marrow		fqbm		fqbm	The dimensionless fraction of cardiac output delivered to the bone marrow compartment.	The dimensionless fraction of cardiac output delivered to the bone marrow compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'fraction of blood flow to a compartment'				
pbpko:PBPKO_00513	fraction of blood flow to gut		fqgut		fqgut	The dimensionless fraction of cardiac output delivered to the gut compartment.	The dimensionless fraction of cardiac output delivered to the gut compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'fraction of blood flow to a compartment'				
pbpko:PBPKO_00514	fraction of blood flow to mammary gland		fqmam		fqmam	The dimensionless fraction of cardiac output delivered to the mammary gland compartment.	The dimensionless fraction of cardiac output delivered to the mammary gland compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'fraction of blood flow to a compartment'				
pbpko:PBPKO_00515	brain plasma partition coefficient		brain plasma pc		brain plasma pc	A partition coefficient representing the ratio of compound concentration in the brain to plasma.	A partition coefficient representing the ratio of compound concentration in the brain to plasma.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'partition coefficient'				
pbpko:PBPKO_00517	mammary gland plasma partition coefficient		mam plasma pc		mam plasma pc	A partition coefficient representing the ratio of compound concentration in the mammary gland to plasma.	A partition coefficient representing the ratio of compound concentration in the mammary gland to plasma.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'partition coefficient'				
pbpko:PBPKO_00518	restbody plasma partition coefficient		restbody plasma pc		restbody plasma pc	A partition coefficient representing the ratio of compound concentration in the rest of body compartment to plasma.	A partition coefficient representing the ratio of compound concentration in the rest of body compartment to plasma.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'partition coefficient'				
pbpko:PBPKO_00519	tissue plasma partition coefficient		kt		kt	A partition coefficient representing the ratio of compound concentration in a generic tissue to plasma.	A partition coefficient representing the ratio of compound concentration in a generic tissue to plasma.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'partition coefficient'				
pbpko:PBPKO_00520	urinary rate constant		kurine c		kurine c	A biochemical parameter (rate constant) representing the rate at which a compound is cleared via urine, often scaled by body weight.	A biochemical parameter (rate constant) representing the rate at which a compound is cleared via urine, often scaled by body weight.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'biochemical parameter'				
pbpko:PBPKO_00521	age in PBPK model					A physiological parameter representing the period of lifespan (typically in years) for which the model is simulated.	A physiological parameter representing the period of lifespan (typically in years) for which the model is simulated.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'physiological parameter'				
pbpko:PBPKO_00522	volume of filtrate		vfiltrate		vfiltrate	A volume parameter representing the total volume of the filtrate compartment.	A volume parameter representing the total volume of the filtrate compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'volume of compartment'				
